experiment,model,n_seeds,P1_accuracy_mean,P1_f1_macro_mean,P2_f1_macro_mean,P3_accuracy_mean,P3_f1_macro_mean,leakage_rate_mean,mean_prob_mass_on_absent_mean,off_plant_rate_mean,P1_accuracy_std,P1_f1_macro_std,P2_f1_macro_std,P3_accuracy_std,P3_f1_macro_std,leakage_rate_std,mean_prob_mass_on_absent_std,off_plant_rate_std
benchmark,densenet121,3,0.5539583333333333,0.6174591533344865,0.17641690095271043,0.7429861111111111,0.6935173037421857,0.36645833333333333,0.529628924934556,0.36645833333333333,0.03445319389322917,0.021031416878730336,0.006008976251065792,0.0017718542808573753,0.008560717803225204,0.04806182722401542,0.04784284705064242,0.04806182722401542
benchmark,convnext_tiny,3,0.6071527777777778,0.6116611256177653,0.17476032160507582,0.68,0.6304298635859226,0.1672916666666667,0.27908799376079413,0.1672916666666667,0.0674016558965178,0.057980865318839316,0.01656596151966836,0.046037424389777135,0.04805170215963018,0.06473000817498276,0.06182332128916497,0.06473000817498276
benchmark,resnet50,3,0.5871527777777777,0.6007249817696833,0.1716357090770523,0.6888888888888888,0.6398801545575181,0.21201388888888886,0.43735368294135696,0.21201388888888886,0.06952353135476529,0.044805616803693986,0.012801604801055428,0.006374909222302121,0.011898474555657724,0.10470948843152941,0.09426616720616288,0.10470948843152941
benchmark,mobilenetv3_large_100,3,0.5442361111111111,0.5990576255688307,0.17115932159109448,0.6945833333333334,0.6505814959267932,0.31145833333333334,0.5516743790157024,0.31145833333333334,0.05743706297943605,0.044395335143855325,0.012684381469672937,0.016121285101794273,0.013156965148701995,0.06305723810775234,0.03474512465620245,0.06305723810775234
benchmark,legacy_xception,3,0.6038888888888888,0.5950778691541249,0.1700222483297499,0.6610416666666666,0.6094011666434914,0.13840277777777776,0.3267875489115128,0.13840277777777776,0.009033918851462808,0.016059720090902743,0.004588491454543685,0.015395537322368551,0.017102391209725308,0.020699920043681683,0.0629111280743281,0.020699920043681683
benchmark,vit_base_patch16_224,3,0.5645138888888889,0.5827742151727379,0.16650691862078223,0.6583333333333333,0.6252986789024547,0.1673611111111111,0.2491704341168376,0.1673611111111111,0.04806242926113373,0.030387556157962667,0.008682158902275038,0.004872506484802701,0.001629258437905283,0.05995091066710175,0.06288469885405784,0.05995091066710175
benchmark,deit3_small_patch16_224,3,0.5035416666666667,0.5776865211423595,0.16505329175495984,0.720486111111111,0.6806801994893354,0.39847222222222217,0.46804482584508755,0.39847222222222217,0.08419373533371975,0.05343517174028077,0.015267191925794529,0.015372026210451743,0.02199745640047445,0.12756505920001643,0.11265445119738215,0.12756505920001643
benchmark,inception_v3,3,0.5351388888888889,0.5685687516987968,0.16244821477108481,0.6601388888888889,0.6156347216495753,0.2445138888888889,0.43873749664261497,0.2445138888888889,0.020896086045885148,0.010038821512846062,0.002868234717956071,0.033808034808201846,0.03470370085458237,0.06302878163835006,0.05296756415919238,0.06302878163835006
benchmark,efficientnet_b0,3,0.4877777777777778,0.5618030352702634,0.16051515293436097,0.6697916666666667,0.6499500401875961,0.33923611111111107,0.5391487257905546,0.33923611111111107,0.04559851463630187,0.03944912020413704,0.011271177201181983,0.039899504835412616,0.03433794026396409,0.03283767773006646,0.024520560053623373,0.03283767773006646
benchmark,mobilenetv2_100,3,0.47305555555555556,0.5191261794011593,0.1483217655431884,0.6242361111111111,0.5887730009882798,0.32784722222222223,0.5299188998161746,0.32784722222222223,0.08201068415038869,0.07271557942236366,0.020775879834961052,0.05344078260439652,0.04402140229207803,0.05678042095391426,0.02705721496165629,0.05678042095391426
benchmark,vgg19,3,0.3318055555555555,0.42936040526230523,0.12267440150351579,0.6222916666666667,0.5988426650332966,0.5727083333333334,0.6284658955056794,0.5727083333333334,0.059780172143290795,0.04251043207479311,0.012145837735655191,0.01536449505624357,0.022426821710181327,0.11817863273921862,0.0756622218067192,0.11817863273921862
ablation,wo_pretrained,3,0.36861111111111106,0.36437986166211983,0.1041085319034628,0.43875000000000003,0.38456154977660234,0.22777777777777777,0.3369491517116167,0.22777777777777777,0.048332585003785476,0.016424336422749878,0.004692667549357108,0.0016535945694153731,0.008315208426235959,0.1302262209935436,0.1670441338116909,0.1302262209935436
benchmark,vgg16,3,0.26368055555555553,0.35064070435653444,0.10018305838758128,0.5979861111111111,0.5644637032985234,0.6359027777777778,0.6850183246104118,0.6359027777777778,0.0739164591942472,0.08104816510207134,0.02315661860059182,0.0574268606899568,0.051906861564769265,0.10929090682584175,0.0591949549015982,0.10929090682584175
