model,recipe,experiment,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete,base,matched,rank31,rank26
convnext_small,standard,benchmark,3,0.9839056666666668,0.0063203647310367,3,0.9804216666666666,0.0066262734876651,3,0.9993806666666668,0.0005363584000771,3,0.9801856666666668,0.0071163181725758,3,0.9837903333333332,0.0064510320362972,3,0.982031,0.0055395054833441,3,0.9804216666666666,0.0066262734876651,3,0.9804216666666666,0.0066262734876651,3,0.999201,0.0003149777769938,3,0.97902,0.00775699845301,3,0.983029,0.0066640866591003,3,0.983094,0.0065933062267727,3,0.9990883333333334,0.0007096283064628,3,0.993166,0.0040653598856681,3,0.0877923333333333,0.0090848723344543,3,49.471,188.72,8.704640256,10.224,10.224,1,97.8,raw,,9,1198.3333333333333,True,convnext_small,False,21,17.0
legacy_xception,standard,benchmark,3,0.984525,0.0010721394498851,3,0.980241,0.001833722716225,3,0.999381,0.0010721394498851,3,0.9800206666666668,0.0021387838444624,3,0.9844733333333332,0.0011382549509373,3,0.9820266666666666,0.0008510501356167,3,0.980241,0.001833722716225,3,0.980241,0.001833722716225,3,0.9992346666666668,5.167526810120273e-05,3,0.9786583333333332,0.0029007146245939,3,0.983682,0.0011301632625422,3,0.983744,0.0010759177477855,3,0.9990703333333334,0.0007849537141343,3,0.9928246666666666,0.0027128870845159,3,0.1447073333333333,0.0527276926323666,3,20.85,79.54,4.574196,4.712,4.712,1,212.2,raw,,23,873.3666666666667,True,legacy_xception,False,22,18.0
efficientnet_b3 [matched],matched,recipe_matched,3,0.9842153333333332,0.0027855000149584,3,0.9796206666666666,0.004632090276898,3,1.0,0.0,3,0.9794903333333332,0.0046213180298842,3,0.9841193333333336,0.002892025645345,3,0.9808323333333332,0.0030535972775291,3,0.9796206666666666,0.004632090276898,3,0.9796206666666666,0.004632090276898,3,0.9992186666666668,0.0001370012165396,3,0.9780966666666668,0.0058803844545517,3,0.9833553333333334,0.0029375000141843,3,0.983399,0.0028980419251625,3,0.9996543333333334,0.0001268910293651,3,0.9919083333333332,0.0027400739649384,3,0.140702,0.0200783797404073,3,10.729,40.93,0.987252112,61.087,15.272,4,16.4,raw,,28,1186.0333333333333,True,efficientnet_b3,True,23,
deit3_small_patch16_224,standard,benchmark,3,0.9829773333333334,0.0014180889722909,3,0.979053,0.0019320049171779,3,0.9993806666666668,0.0005363584000771,3,0.978624,0.0021890061671909,3,0.9829066666666666,0.0014500463210992,3,0.9794466666666668,0.0022174968620797,3,0.979053,0.0019320049171779,3,0.979053,0.0019320049171779,3,0.999157,6.93974062915985e-05,3,0.9777376666666668,0.0025762861512909,3,0.98205,0.001494901669007,3,0.982088,0.0014868668400364,3,0.9992026666666668,0.0005526068524125,3,0.9919333333333332,0.004387262282259,3,0.0916606666666666,0.005148135034489,3,21.683,82.71,4.250298624,6.18,6.18,1,161.8,raw,,21,587.4,True,deit3_small_patch16_224,False,24,19.0
mobilenetv3_large_100,standard,benchmark,3,0.9829773333333334,0.0014180889722909,3,0.9783843333333332,0.0015229925585285,3,0.9996903333333332,0.0005363584000771,3,0.978573,0.001085135475413,3,0.9829863333333332,0.0013670761988028,3,0.9804586666666668,6.8061246927548e-05,3,0.9783843333333332,0.0015229925585285,3,0.9783843333333332,0.0015229925585285,3,0.9991566666666666,7.159143337952419e-05,3,0.9771663333333334,0.0015202819913862,3,0.9820493333333332,0.0014956658494908,3,0.9821026666666666,0.0014687329006096,3,0.9995286666666666,0.0004726080123457,3,0.9942246666666668,0.0020737744171759,3,0.1241966666666666,0.0125372369098351,3,4.229,16.13,0.224183296,9.962,9.962,1,100.4,raw,,14,513.6333333333333,True,mobilenetv3_large_100,False,25,20.0
efficientnet_b3,standard,benchmark,3,0.982049,0.0053606972494256,3,0.9775413333333334,0.0064818972788322,3,0.9993806666666668,0.0005363584000771,3,0.9774746666666668,0.00688883853297,3,0.9819576666666666,0.0054773242859386,3,0.978795,0.0055511961774017,3,0.9775413333333334,0.0064818972788322,3,0.9775413333333334,0.0064818972788322,3,0.99911,0.0002650056603168,3,0.9761513333333336,0.0076960086625037,3,0.9810706666666666,0.0056522591353664,3,0.981115,0.0055997202608701,3,0.998264,0.001196537922508,3,0.987948,0.0023162268887136,3,0.1295636666666666,0.0030539578145962,3,10.729,40.93,0.987252112,20.767,20.767,1,48.2,raw,,11,774.6333333333333,True,efficientnet_b3,False,26,21.0
mnasnet_100,standard,benchmark,3,0.9808106666666668,0.0029846062275169,3,0.9768313333333332,0.0032540467626224,3,1.0,0.0,3,0.9765766666666668,0.0038055802886463,3,0.9807473333333334,0.0030180857067574,3,0.9776213333333332,0.0034366962817993,3,0.9768313333333332,0.0032540467626224,3,0.9768313333333332,0.0032540467626224,3,0.999048,0.0001471461858153,3,0.975614,0.0039377657370646,3,0.9797653333333334,0.0031470446983373,3,0.9798073333333334,0.0031186795817033,3,0.9996883333333332,0.0001214097744555,3,0.992247,0.0030393718100949,3,0.116645,0.0104326630828374,3,3.129,11.94,0.324138752,5.516,5.516,1,181.3,raw,,24,488.1666666666667,True,mnasnet_100,False,27,22.0
ghostnet_100,standard,benchmark,3,0.9801916666666668,0.0029848136178551,3,0.9749243333333334,0.0037232932107656,3,1.0,0.0,3,0.975017,0.0036329980732172,3,0.9800596666666668,0.003107050906138,3,0.977233,0.0026382903555143,3,0.9749243333333334,0.0037232932107656,3,0.9749243333333334,0.0037232932107656,3,0.9990176666666668,0.0001492860788329,3,0.9730846666666668,0.0042390118345356,3,0.9791116666666668,0.0031478224748758,3,0.979172,0.0031343645288957,3,0.9995993333333332,9.546901766192976e-05,3,0.9903996666666668,0.0014227207502997,3,0.126556,0.0105675848234116,3,3.928,14.99,0.147020816,10.109,10.109,1,98.9,raw,,28,492.9,True,ghostnet_100,False,28,23.0
resnet50,standard,benchmark,3,0.9792633333333332,0.0014180889722909,3,0.974939,0.0011012633654126,3,1.0,0.0,3,0.974325,0.0015858571814636,3,0.9791606666666668,0.0013908092368594,3,0.9759663333333334,0.0026308822347899,3,0.974939,0.0011012633654126,3,0.974939,0.0011012633654126,3,0.998972,6.941901756720669e-05,3,0.973267,0.0010300723275576,3,0.9781336666666666,0.0014947927392562,3,0.9781983333333332,0.0015130909864688,3,0.999473,0.0001429020643658,3,0.988847,0.0021835061254779,3,0.1227976666666666,0.0061160461356446,3,23.551,89.84,4.109507584,6.499,6.499,1,153.9,raw,,31,776.0666666666666,True,resnet50,False,29,24.0
mobilenetv2_100,standard,benchmark,3,0.977406,0.0021442788997702,3,0.973006,0.002881358186689,3,0.9996903333333332,0.0005363584000771,3,0.9724353333333332,0.0033047708442996,3,0.9773893333333332,0.0020521223972593,3,0.9737336666666666,0.0024841924911997,3,0.973006,0.002881358186689,3,0.973006,0.002881358186689,3,0.99888,0.0001039663407069,3,0.9713556666666668,0.0034950308057774,3,0.9761756666666668,0.0022600376840515,3,0.9762406666666666,0.002220314467217,3,0.9994806666666666,0.0001631144792265,3,0.9898723333333334,0.0027128690225171,3,0.0943893333333333,0.0015941011051164,3,2.251,8.59,0.312940096,4.422,4.422,1,226.1,raw,,26,535.4666666666667,True,mobilenetv2_100,False,30,25.0
resnet101,standard,benchmark,3,0.97524,0.0010721394498851,3,0.970066,0.0006132275271055,3,0.9996903333333332,0.0005363584000771,3,0.9696703333333332,0.0013432648038764,3,0.9751293333333332,0.0010098813461656,3,0.9718803333333332,0.0022266010718881,3,0.970066,0.0006132275271055,3,0.970066,0.0006132275271055,3,0.9987713333333332,5.493025881361213e-05,3,0.967734,0.00209643578485,3,0.9738906666666668,0.0011307414971306,3,0.973964,0.0011797470067772,3,0.9995803333333332,6.543189843898357e-05,3,0.9903576666666668,0.0020735390841103,3,0.1059373333333333,0.0063319352755167,3,42.543,162.29,7.831964672,13.185,13.185,1,75.8,raw,,24,1172.9333333333334,True,resnet101,False,31,26.0
