rank,experiment,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,auc_macro_ovr_mean,auc_macro_ovr_std,ece_mean,ece_std
27,benchmark,mnasnet_100,3,0.62875,0.03630264376659702,0.62875,0.03630264376659702,0.6303962406867681,0.022102195852084984,0.6303962406867684,0.022102195852084953,0.7196237701595583,0.010459518104012414,0.62875,0.03630264376659702,0.907985234375,0.01630450700456703,0.15442194006560991,0.019219960364659675
28,benchmark,densenet121,3,0.5655555555555556,0.032028045797278845,0.5655555555555556,0.032028045797278845,0.6291120522460852,0.020622072611889527,0.6291120522460851,0.020622072611889513,0.7646845296993524,0.0404677774415666,0.5655555555555556,0.032028045797278845,0.9204534201388889,0.011457642749115296,0.11783130061191817,0.010273566638728476
29,benchmark,ghostnet_100,3,0.5965277777777778,0.05616866547712775,0.5965277777777778,0.056168665477127795,0.6277439087915696,0.05107236943604727,0.6277439087915696,0.051072369436047246,0.7572160186318047,0.043765481598898544,0.5965277777777778,0.056168665477127795,0.9189137673611111,0.0076532622212566685,0.13544345793262538,0.04058486308436698
30,ablation,wo_mixup,3,0.6534722222222222,0.03366652055798884,0.6534722222222222,0.03366652055798884,0.6268692827597744,0.040842734901826334,0.6268692827597744,0.04084273490182625,0.6557957455425548,0.013497371414193117,0.6534722222222222,0.03366652055798884,0.9200504427083332,0.014425524601862031,0.13683673657787343,0.0630845342768848
31,benchmark,convnext_tiny,3,0.6172222222222222,0.01438757501508906,0.6172222222222222,0.01438757501508898,0.6247226219395903,0.012315594332116802,0.6247226219395903,0.012315594332116802,0.6700140325625975,0.011673851540477627,0.6172222222222222,0.01438757501508898,0.9129263802083333,0.019731069406480926,0.1310355686882718,0.019011712733917056
32,ablation,wo_llrd,3,0.6201388888888889,0.06361380240546448,0.6201388888888889,0.06361380240546448,0.6245227679128068,0.058053135297716316,0.6245227679128068,0.05805313529771623,0.6773630479212779,0.025397308173763792,0.6201388888888889,0.06361380240546448,0.9076452256944444,0.01831769303118832,0.12869316477742462,0.06435526663024242
33,benchmark,resnet50,3,0.6124305555555556,0.013094099427406759,0.6124305555555556,0.013094099427406735,0.6212157346642377,0.01043402491526967,0.6212157346642379,0.010434024915269598,0.7007358547755927,0.035370716070136296,0.6124305555555556,0.013094099427406735,0.8985323958333334,0.004444875802668721,0.10834223349164758,0.018015029643856876
34,benchmark,resnext50_32x4d,3,0.6251388888888889,0.01757218906976883,0.6251388888888889,0.01757218906976877,0.6175317514254197,0.012646622731239702,0.6175317514254197,0.012646622731239792,0.652553298459691,0.031028038025140498,0.6251388888888889,0.01757218906976877,0.9157199131944443,0.006573937859445761,0.05441091023489005,0.01770780539113529
35,benchmark,deit3_small_patch16_224,3,0.5620138888888889,0.02046479587903017,0.5620138888888889,0.02046479587903015,0.6137307054323698,0.010470558489411936,0.61373070543237,0.010470558489412017,0.7078588909920188,0.01180304526800788,0.5620138888888889,0.02046479587903015,0.9054933072916667,0.014940513564995097,0.10455371074637193,0.027660815752253015
36,benchmark,mobilenetv3_large_100,3,0.5531944444444444,0.04193886782281153,0.5531944444444444,0.0419388678228116,0.6000796355842831,0.04446472724983277,0.6000796355842831,0.04446472724983277,0.7229900972007068,0.04976609088382658,0.5531944444444444,0.0419388678228116,0.8810746527777776,0.009917070373398661,0.15252882248308094,0.04295898927110516
37,benchmark,legacy_xception,3,0.5945138888888889,0.03809728804628333,0.5945138888888889,0.03809728804628326,0.5857880524468547,0.04453127654088028,0.5857880524468547,0.044531276540880196,0.6454732277904477,0.023480050075018417,0.5945138888888889,0.03809728804628326,0.9038355555555556,0.01662868468023558,0.15905255587357614,0.0814834947529154
