tag,model,seed,started_at,ended_at,run_duration_sec,train_sec_cumulative,n_epochs
ablation/wo_pretrained/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T16:55:54,2026-08-05T17:14:21,1106.9,1030.0,32
ablation/full/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T17:14:24,2026-08-05T17:32:53,1109.1,1030.2,32
ablation/wo_msf/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T17:32:55,2026-08-05T17:50:32,1056.5,981.8,32
ablation/wo_lap/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T17:50:34,2026-08-05T18:06:09,935.1,858.8,27
ablation/wo_hier/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T18:06:12,2026-08-05T18:24:53,1121.1,1049.8,32
ablation/wo_mixstyle/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T18:24:55,2026-08-05T18:39:20,865.2,795.4,25
ablation/wo_lap_gate/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T18:39:22,2026-08-05T18:53:55,872.8,802.6,25
ablation/wo_mixup/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T18:53:57,2026-08-05T19:11:48,1071.5,999.3,31
ablation/wo_ema/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T19:11:50,2026-08-05T19:22:16,625.8,559.0,19
ablation/wo_tta/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T19:22:18,2026-08-05T19:37:05,886.9,837.6,26
ablation/wo_llrd/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T19:37:07,2026-08-05T19:49:27,740.0,671.4,21
ablation/wo_beta_calib/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T19:49:29,2026-08-05T20:06:45,1036.5,967.4,30
ablation/wo_mixup_cooldown/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T20:06:47,2026-08-05T20:20:49,841.5,771.5,24
ablation/wo_sampler/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T20:20:51,2026-08-05T20:35:25,874.5,804.1,25
