tag,experiment,model,recipe,tta_group,repeat_id,seed,split,n_test,accuracy,balanced_accuracy,top5_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,sensitivity_macro,specificity_macro,g_mean_macro,cohen_kappa,mcc,auc_macro_ovr,auc_weighted_ovr,average_precision_macro,log_loss,ece,n_zero_recall_classes,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,train_sec,n_epochs,best_epoch,select_src,hier_beta,proto_P1_accuracy,proto_P1_f1_macro,proto_P2_f1_macro,proto_P3_accuracy,proto_P3_f1_macro,proto_leakage_rate,proto_mean_prob_mass_on_absent,proto_off_plant_rate
benchmark/swin_tiny_patch4_window7_224/seed42,benchmark,swin_tiny_patch4_window7_224,standard,none,0,42,external,4800,0.599167,0.599167,0.805,0.724914,0.599167,0.646407,0.724914,0.599167,0.646407,0.599167,0.973417,0.308522,0.543463,0.558612,0.908081,0.908081,0.756512,1.614306,0.084376,0,27.536,105.04,4.508442624,10.251,10.251,1,97.6,1099.0,32,26,raw,,0.5991666666666666,0.6464069723112373,0.18468770637463924,0.7110416666666667,0.6720321472285534,0.2679166666666667,0.3770213294718754,0.2679166666666667
benchmark/swin_small_patch4_window7_224/seed42,benchmark,swin_small_patch4_window7_224,standard,none,0,42,internal_test,1077,0.987001,0.982074,0.999071,0.982901,0.982074,0.982079,0.987459,0.987001,0.986941,0.982074,0.999358,0.980589,0.986292,0.986316,0.9988,0.998929,0.992637,0.129806,0.079582,0,48.853,186.36,8.767782912,19.666,19.666,1,50.8,1812.2,32,25,raw,,,,,,,,,
benchmark/swin_small_patch4_window7_224/seed42,benchmark,swin_small_patch4_window7_224,standard,none,0,42,external,4800,0.68375,0.68375,0.816667,0.738622,0.68375,0.706768,0.738622,0.68375,0.706768,0.68375,0.978667,0.008444,0.635767,0.651404,0.950158,0.950158,0.826217,1.337523,0.108143,1,48.853,186.36,8.767782912,19.666,19.666,1,50.8,1812.2,32,25,raw,,0.68375,0.7067677361524262,0.20193363890069319,0.761875,0.7105929069000031,0.20958333333333334,0.28927975977060366,0.20958333333333334
benchmark/deit3_small_patch16_224/seed42,benchmark,deit3_small_patch16_224,standard,none,0,42,internal_test,1077,0.983287,0.97846,0.999071,0.980538,0.97846,0.978066,0.985007,0.983287,0.983135,0.97846,0.999173,0.976203,0.982376,0.982455,0.998857,0.998972,0.993929,0.138496,0.092433,0,21.683,82.71,4.250298624,6.18,6.18,1,161.8,588.4,30,21,raw,,,,,,,,,
benchmark/deit3_small_patch16_224/seed42,benchmark,deit3_small_patch16_224,standard,none,0,42,external,4800,0.44625,0.44625,0.8075,0.757443,0.44625,0.538377,0.757443,0.44625,0.538377,0.44625,0.988792,0.214264,0.395657,0.419793,0.902793,0.902793,0.722038,2.031747,0.170872,0,21.683,82.71,4.250298624,6.18,6.18,1,161.8,588.4,30,21,raw,,0.44625,0.5383769534590442,0.15382198670258407,0.7314583333333333,0.7038682568398307,0.4977083333333333,0.548888182510788,0.4977083333333333
benchmark/caformer_s18.sail_in22k_ft_in1k/seed42,benchmark,caformer_s18.sail_in22k_ft_in1k,standard,none,0,42,internal_test,1077,0.979573,0.973891,1.0,0.97778,0.973891,0.973672,0.98203,0.979573,0.979278,0.973891,0.998988,0.970914,0.978459,0.978573,0.999679,0.999745,0.991077,0.149455,0.08614,0,24.336,92.83,3.894573824,10.602,10.602,1,94.3,662.0,14,5,raw,,,,,,,,,
benchmark/caformer_s18.sail_in22k_ft_in1k/seed42,benchmark,caformer_s18.sail_in22k_ft_in1k,standard,none,0,42,external,4800,0.674583,0.674583,0.830208,0.699678,0.674583,0.663887,0.699678,0.674583,0.663887,0.674583,0.960708,0.008138,0.619318,0.6401,0.925676,0.925676,0.775344,1.379223,0.033592,1,24.336,92.83,3.894573824,10.602,10.602,1,94.3,662.0,14,5,raw,,0.6745833333333333,0.6638867999070904,0.18968194283059728,0.74,0.6838719818180533,0.12895833333333334,0.27881028958835186,0.12895833333333334
proposed/Proposed_HMLA_CAFormerS18/seed1234,proposed,caformer_s18.sail_in22k_ft_in1k,proposed,klein,0,1234,internal_test,1077,0.989786,0.986477,1.0,0.98663,0.986477,0.986516,0.989853,0.989786,0.989788,0.986477,0.999495,0.986133,0.98923,0.989232,0.999907,0.99993,0.997602,0.112985,0.083868,0,23.897,91.16,3.970553856,50.107,12.527,4,20.0,1502.1,26,17,raw,0.0,,,,,,,,
proposed/Proposed_HMLA_CAFormerS18/seed1234,proposed,caformer_s18.sail_in22k_ft_in1k,proposed,klein,0,1234,external,4800,0.705417,0.705417,0.86375,0.671565,0.705417,0.684731,0.671565,0.705417,0.684731,0.705417,0.957792,0.008647,0.652309,0.665216,0.934372,0.934372,0.763554,1.251815,0.080733,1,23.897,91.16,3.970553856,50.107,12.527,4,20.0,1502.1,26,17,raw,0.0,0.7054166666666667,0.6847314835225591,0.19563756672073113,0.7491666666666666,0.6966283375647088,0.08354166666666667,0.18165961409754042,0.08354166666666667
benchmark/resnet50/seed1234,benchmark,resnet50,standard,none,0,1234,internal_test,1077,0.977716,0.97375,1.0,0.973189,0.97375,0.972507,0.978995,0.977716,0.977621,0.97375,0.998897,0.972134,0.976503,0.976566,0.999554,0.999609,0.990472,0.190013,0.115929,0,23.551,89.84,4.109507584,10.271,10.271,1,97.4,801.3,32,24,raw,,,,,,,,,
